id,title,author,language,caption,captionItemName,keyword,digest,status,isDisplay,readNum,createTime,updateTime,coverUrl
645,The DL Tower and a Hong Kong Coliseum Concert Go On-Chain: Compliance Reflections Amid Hong Kong’s RWA Boom,fintax,2,1,,"RWA, Hong Kong, compliance, tokenisation, tax","At the start of 2026, high-quality commercial real estate and a Hong Kong Coliseum concert went on-chain in quick succession. This article reviews Hong Kong’s RWA evolution, examines tax implications and regulatory logic, and explores compliance risks behind the RWA financing boom.",2,1,,2026/3/30 16:33,2026/3/30 16:35,files/20260330/article_0327_publish_cover_1774859742338.jpg
643,中环大厦、红馆演唱会接连上链？赴港RWA热潮下的合规冷思考,fintax,1,1,,"RWA, 香港监管, 代币化, 合规, 资产证券化, 真实世界资产",2026年开年，香港中环商业地产与红馆演唱会接连上链，标志着RWA正式迈入商业化落地新阶段。本文系统梳理香港RWA演进路径，剖析税务影响与监管逻辑，审视RWA融资红利背后的合规风险。,2,1,,2026/3/30 15:30,2026/3/30 15:31,files/20260330/2e7aeae8fc4e41cbba3de9a8cca29794.png
642,From Regulation by Enforcement to Ex Ante Rulemaking: The U.S. Crypto Regulatory Shift and Its Market Impact,fintax,2,1,,"crypto regulation, SEC, CFTC, digital assets, ex ante rulemaking, digital commodities, digital securities, stablecoins","The SEC and CFTC jointly released guidance classifying crypto assets into five categories, marking a historic shift from regulation by enforcement to systematic ex ante rulemaking in the U.S.",2,1,,2026/3/30 15:13,2026/3/30 15:22,files/20260330/29c3b17c890548c7b6cd11b9ba00de48.png
641,Beyond the Hype: What Are Crypto Assets Actually Worth When the Bubble Bursts?,fintax,2,1,,crypto assets tokenization value mechanism regulation cross-border payments,"This paper examines sustainable crypto asset value mechanisms through the lens of tokenization, macro hedging, and regulatory evolution, distinguishing between native and backed tokens that can survive market cycles.",2,1,,2026/3/27 13:26,2026/3/27 16:11,files/20260327/4ee2221c1c0343118febc789ebdec36d.png
640,Sun Yuchen and the SEC Settle Three-Year Dispute: TRON Case Reflects New Trends in US Crypto Regulation,fintax,2,1,,SEC TRON Justin Sun settlement crypto regulation wash trading,"The SEC and Justin Sun reach a settlement in the TRON case after three years, with Rainberry accepting a $10M penalty for wash trading while all other charges are dismissed, reflecting the shifting US crypto regulatory landscape.",2,1,,2026/3/27 13:24,2026/3/27 16:12,files/20260327/dc5bc88e5b034644a1896095dfc19413.png
639,MetaMask Card Lands in the US: A New Game Changer for Crypto Payments,fintax,2,1,,MetaMask Mastercard crypto payments self-custody debit card,"MetaMask partners with Mastercard to launch a self-custody crypto card in the US, allowing users to spend on-chain assets at 150M+ merchants while maintaining full control of their funds.",2,1,,2026/3/27 13:22,2026/3/27 16:13,files/20260327/7dd5e35d5bbc401291eb147d250c0017.png
638,从"执法监管"到"规则前置"：美国加密资产监管的范式转变与市场影响,fintax,1,1,,加密资产 SEC CFTC 数字商品 证券监管,2026年3月17日，SEC与CFTC联合发布加密资产分类指引，将加密资产划分为五大类别，创设剥离机制，标志着美国从执法监管转向规则前置的监管范式转变。,2,1,,2026/3/27 11:50,,files/20260327/192258181faf41feb6a0bf0ab08a45d8.png
637,SEC与孙宇晨及TRON系实体达成和解：历时三年纠纷落定，加密监管释放新信号,FinTax,1,1,,"SEC,孙宇晨,TRON,加密监管,和解,TRX",SEC就针对孙宇晨、TRON基金会等的诉讼达成和解，Rainberry接受1000万美元罚金，SEC撤销其余指控。本文分析和解背后的监管逻辑与市场启示。,1,1,,2026/3/23 10:22,,
636,当叙事泡沫退去，真正有价值的加密资产是什么？ ,FinTax,1,1,,,,2,1,,2026/3/18 17:42,,files/20260318/b21bfd89ff764ddbb273fee1dbfb0f71.png
635,A Dual-Governance Model for a "Global Crypto Hub": Research on UAE Crypto Regulation and Taxation,FinTax,2,1,,,,2,1,,2026/3/16 11:14,,files/20260316/4e7fb282294f4c7a9c35c48ec792a06d.png
